Action,Time,Ticker,Result (GBP),Charge amount (GBP),Stamp duty (GBP),Transaction fee (GBP)
Market sell,2020-04-28,AIR,1.49,,,
Market sell,2020-04-29,BYND,-2.78,,,
Limit sell,2020-04-30,BP,0.57,,,
Stop sell,2020-04-30,BP,0.23,,,
Stop limit sell,2020-04-30,BP,0.05,,,
Stop limit sell,2020-04-30,BP,0.04,,,
Stop sell,2020-04-30,BP,0.04,,,
Limit sell,2020-04-30,BP,0.05,,,
Market sell,2020-04-30,TWO,5.68,,,
Market sell,2020-04-30,TWO,79.51,,,0.01
Market sell,2020-04-30,NRZ,83.15,,,0.01
Market sell,2020-05-04,IMB,-0.88,,,
Market sell,2020-05-04,NRZ,-6.7,,,0.01
Market sell,2020-05-04,NAT,0.41,,,
Market sell,2020-05-05,CCL,-1.93,,,
Market sell,2020-05-05,IVR,1.64,,,0.01
Market sell,2020-05-06,KOS,0.32,,,
Market sell,2020-05-06,MCRO,9.0,,,
Limit sell,2020-05-06,CPE,-1.06,,,
Stop sell,2020-05-07,NAT,-0.79,,,
Market sell,2020-05-08,DDD,4.96,,,
Market sell,2020-05-08,BGS,1.14,,,
Market sell,2020-05-08,DDD,2.09,,,
Market sell,2020-05-08,AGNC,1.34,,,
Market sell,2020-05-08,BHC,3.06,,,
Market sell,2020-05-08,BAC,0.22,,,
Market sell,2020-05-08,DESP,7.53,,,
Market sell,2020-05-08,O,1.7,,,
Market sell,2020-05-08,GNL,0.09,,,
Market sell,2020-05-08,NRZ,1.72,,,
Market sell,2020-05-08,CIM,1.72,,,
Market sell,2020-05-08,T,0.13,,,
Market sell,2020-05-11,AV,0.42,,,
Market sell,2020-05-11,UIHC,2.46,,,
Market sell,2020-05-11,NET,2.92,,,
Market sell,2020-05-11,O,0.68,,,
Market sell,2020-05-12,SPG,1.1,,,
Market sell,2020-05-12,LGEN,2.46,,,
Market sell,2020-05-12,BA,0.3,,,
Market sell,2020-05-12,UAA,3.16,,,
Market sell,2020-05-12,KOS,0.15,,,
Market sell,2020-05-12,SJR,0.17,,,
Market sell,2020-05-13,IAG,-5.78,,,
Market sell,2020-05-13,GRPN,-0.38,,,
Market sell,2020-05-13,GRPN,-0.05,,,
Market sell,2020-05-13,CPE,0.25,,,
Market sell,2020-05-14,SSE,1.3,,,
Market sell,2020-05-14,INGA,-0.02,,,
Market sell,2020-05-14,CCL,2.51,,,
Market sell,2020-05-14,AAPL,1.27,,,
Market sell,2020-05-14,T,0.35,,,
Market sell,2020-05-19,BAC,2.2,,,
Market sell,2020-05-21,NFLX,0.66,,,
Market sell,2020-05-22,BP,-1.13,,,
Market sell,2020-05-27,HDLG,0.5,,,
Market sell,2020-05-27,BABA,0.56,,,
Market sell,2020-05-29,BMO,10.93,,,
Market sell,2020-05-29,BNC,0.72,,,
Market sell,2020-05-29,STAG,0.76,,,
Market sell,2020-05-29,WES,2.89,,,
Market sell,2020-05-29,PK,3.69,,,
Market sell,2020-06-01,NYMT,0.66,,,
Market sell,2020-06-02,DXC,1.93,,,
Market sell,2020-06-02,TENB,0.93,,,
Market sell,2020-06-02,TWO,1.56,,,
Market sell,2020-06-04,LK,93.73,,,
Market sell,2020-06-04,NLOK,2.14,,,
Market sell,2020-06-05,VIR,-3.21,,,
Market sell,2020-06-05,ENPH,0.42,,,
Market sell,2020-06-05,INO,-7.01,,,
Market sell,2020-06-05,VAL,127.92,,,
Market sell,2020-06-08,LK,3.87,,,
Market sell,2020-06-08,LTM,18.71,,,
Market sell,2020-06-08,SAB,0.94,,,
Market sell,2020-06-09,RDSB,6.23,,,
Market sell,2020-06-09,BT,2.89,,,
Market sell,2020-06-09,SPCE,2.37,,,
Market sell,2020-06-09,CPE,72.96,,,
Market sell,2020-06-09,LTM,6.48,,,
Market sell,2020-06-10,CLVS,0.14,,,
Market sell,2020-06-10,PT,0.53,,,
Market sell,2020-06-10,PT,0.03,,,
Market sell,2020-06-10,PT,2.79,,,
Market sell,2020-06-11,IAG,42.42,,,
Market sell,2020-06-11,INGA,1.08,,,
Market sell,2020-06-11,SSE,0.88,,,
Market sell,2020-06-11,BBVA,23.03,,,
Market sell,2020-06-11,AUY,1.1,,,
Market sell,2020-06-11,IVR,38.96,,,
Market sell,2020-06-11,OXY,18.06,,,
Market sell,2020-06-11,ET,0.65,,,
Market sell,2020-06-11,NLY,0.41,,,
Market sell,2020-06-11,OMP,6.63,,,
Market sell,2020-06-11,PHE,6.45,,,
Market sell,2020-06-12,BP,0.53,,,
Market sell,2020-06-12,RDSB,1.4,,,
Market sell,2020-06-12,IAG,-1.57,,,
Market sell,2020-06-12,BBVA,0.0,,,
Market sell,2020-06-12,APHA,0.27,,,
Market sell,2020-06-12,PAAS,-21.76,,,0.0
Market sell,2020-06-18,VISL,0.06,,,
Market sell,2020-06-18,ET,-0.03,,,
Market sell,2020-06-23,FHB,1.18,,,
Market sell,2020-06-24,SHIP,9.29,,,
Market sell,2020-06-24,GNUS,5.38,,,
Market sell,2020-06-24,WORK,6.91,,,
Market sell,2020-06-24,SMAR,10.11,,,
Market sell,2020-06-29,BIOC,6.0,,,
Market sell,2020-06-29,PPBT,0.32,,,
Market sell,2020-07-01,GNUS,-3.1,,,
Market sell,2020-07-02,EVR,1.67,,,
Market sell,2020-07-06,SPG,0.4,,,
Market sell,2020-07-07,LK,-62.48,,,
Market sell,2020-07-07,KOS,-5.61,,,
Market sell,2020-07-07,CPE,-4.44,,,
Market sell,2020-07-08,TWTR,16.06,,,
Market sell,2020-07-08,MSFT,-1.37,,,
Market sell,2020-07-08,BPY,2.55,,,
Market sell,2020-07-08,FCEL,7.93,,,
Market sell,2020-07-10,AXP,-0.82,,,
Market sell,2020-07-20,GE,0.23,,,
Market sell,2020-07-21,NRZ,0.02,,,
Market sell,2020-07-22,GGP,1.1,,,
Market sell,2020-07-24,BBVA,-0.48,,,
Market sell,2020-07-27,D,-0.61,,,
Market sell,2020-07-27,PMO,5.56,,,
Market sell,2020-07-27,DXC,0.38,,,
Market sell,2020-07-27,BRK.B,1.46,,,
Market sell,2020-08-13,RWT,0.34,,,
Market sell,2020-08-17,CCJ,1.02,,,
Market sell,2020-08-19,GLEN,7.24,,,
Market sell,2020-08-19,GRPN,0.06,,,
Market sell,2020-08-25,AIR,0.74,,,
Market sell,2020-08-25,O,0.38,,,
Market sell,2020-09-01,JD,35.54,,,
Market sell,2020-09-03,M,0.09,,,
Market sell,2020-09-03,GCI,22.53,,,
Market sell,2020-09-03,MSFT,2.26,,,
Market sell,2020-09-03,NFLX,7.3,,,
Market sell,2020-09-04,TSLA,6.07,,,
Market sell,2020-09-10,XRX,1.32,,,
Market sell,2020-09-10,UPWK,1.34,,,
Market sell,2020-09-10,UAA,-0.02,,,
Market sell,2020-09-11,PLYA,2.9,,,
Market sell,2020-09-15,OSTK,-3.63,,,
Market sell,2020-09-15,PLAY,15.39,,,
Market sell,2020-09-15,UMPQ,-2.37,,,
Market sell,2020-09-15,ODT,-1.78,,,
Market sell,2020-09-16,SPCE,1.63,,,
Market sell,2020-09-16,CSIQ,6.18,,,
Market sell,2020-09-17,TSLA,6.55,,,
Market sell,2020-09-17,CHWY,-2.94,,,
Market sell,2020-09-17,D,0.87,,,
Market sell,2020-09-17,ORCL,-1.37,,,
Market sell,2020-09-17,PLCE,20.14,,,
Market sell,2020-09-17,WELL,18.72,,,
Market sell,2020-09-18,INTC,7.26,,,
Market sell,2020-09-18,WORK,-3.59,,,
Market sell,2020-09-18,TER,-2.61,,,
Market sell,2020-09-18,NYMT,-1.44,,,
Market sell,2020-09-18,UCTT,-0.65,,,
Market sell,2020-09-18,TWO,-3.29,,,
Market sell,2020-09-18,GNOG,-0.33,,,
Market sell,2020-09-18,NVTA,2.6,,,
Market sell,2020-09-18,RKT,-2.62,,,
Market sell,2020-09-21,BBVA,-20.38,,,
Market sell,2020-09-21,CINE,-11.08,,,
Market sell,2020-09-21,MCRO,-23.94,,,
Market sell,2020-09-21,MRL,-8.73,,,
Market sell,2020-09-21,CIM,-5.69,,,
Market sell,2020-09-21,MFA,-23.11,,,
Market sell,2020-09-21,GE,6.7,,,
Market sell,2020-09-21,CAKE,29.06,,,
Market sell,2020-09-21,AGNC,3.12,,,
Market sell,2020-09-21,AMD,1.3,,,
Market sell,2020-09-21,LMND,6.28,,,
Market sell,2020-09-21,OSTK,0.93,,,
Market sell,2020-09-21,CXW,-12.13,,,
Market sell,2020-09-21,HYLN,0.03,,,
Market sell,2020-09-21,WORK,-0.01,,,
Market sell,2020-09-21,FSLY,1.37,,,
Market sell,2020-09-21,TEAM,-0.39,,,
Market sell,2020-09-21,INTU,1.39,,,
Market sell,2020-09-21,FSLY,0.61,,,
Market sell,2020-09-21,AMD,2.01,,,
Market sell,2020-09-21,SYRS,-0.7,,,0.0
Stop sell,2020-09-21,DOCU,4.15,,,
Market sell,2020-09-22,PHE,-11.18,,,
Market sell,2020-09-22,PK,-8.51,,,
Market sell,2020-09-22,QDEL,35.26,,,
Market sell,2020-09-22,PLUG,-2.3,,,
Market sell,2020-09-22,SHOP,-1.26,,,
Market sell,2020-09-22,SPOT,0.3,,,
Market sell,2020-09-22,HOFSQ,8.06,,,
Market sell,2020-09-22,SPLK,-1.14,,,
Market sell,2020-09-22,FB,1.74,,,
Market sell,2020-09-22,FSLY,-0.35,,,
Market sell,2020-09-22,AMZN,-0.28,,,
Market sell,2020-09-22,IBIO,-10.54,,,
Market sell,2020-09-22,GNOG,-13.47,,,
Market sell,2020-09-22,CSIQ,2.01,,,
Market sell,2020-09-23,CRM,-2.03,,,
Market sell,2020-09-23,SPLK,-3.17,,,
Market sell,2020-09-23,MSFT,3.49,,,
Market sell,2020-09-23,LMND,2.52,,,
Market sell,2020-09-23,SHOP,2.31,,,
Market sell,2020-09-23,BMRN,1.72,,,
Market sell,2020-09-23,SQ,13.96,,,
Market sell,2020-09-23,OSTK,-1.64,,,
Market sell,2020-09-23,SPOT,-0.19,,,
Market sell,2020-09-23,CHWY,3.76,,,
Market sell,2020-09-23,TWOU,3.12,,,
Market sell,2020-09-23,ET,-2.48,,,
Market sell,2020-09-23,AMD,-2.61,,,
Market sell,2020-09-23,BABA,-3.24,,,
Market sell,2020-09-23,FSLR,0.31,,,
Market sell,2020-09-23,PD,5.42,,,
Market sell,2020-09-23,PINS,7.76,,,
Market sell,2020-09-23,TEAM,1.71,,,
Market sell,2020-09-23,CRWD,12.95,,,
Market sell,2020-09-23,DOCU,7.27,,,
Market sell,2020-09-23,WING,7.55,,,
Market sell,2020-09-23,TDOC,-0.66,,,
Market sell,2020-09-23,UCTT,5.6,,,
Market sell,2020-09-23,GOCO,0.42,,,
Market sell,2020-09-23,UPWK,-1.24,,,
Market sell,2020-09-23,TRMB,-3.49,,,0.0
Market sell,2020-09-23,TER,-5.27,,,
Market sell,2020-09-23,PETS,-4.05,,,
Market sell,2020-09-23,AAPL,-9.56,,,
Market sell,2020-09-23,CSCO,-6.77,,,
Market sell,2020-09-23,AYX,-7.04,,,
Market sell,2020-09-25,SUNW,-0.06,,,
Market sell,2020-09-25,AAPL,0.92,,,
Market sell,2020-09-25,PINS,-0.33,,,
Market sell,2020-09-25,COTY,-59.33,,,
Market sell,2020-09-25,TSLA,4.38,,,
Market sell,2020-09-25,PRLB,-1.01,,,0.0
Market sell,2020-09-30,WING,-0.59,,,
Market sell,2020-09-30,IVR,-39.82,,,
Market sell,2020-10-02,FB,2.82,,,
Market sell,2020-10-05,SUNW,-2.56,,,
Market sell,2020-10-05,GE,0.0,,,
Stop sell,2020-10-05,RKT,0.49,,,
Stop sell,2020-10-06,SNDL,-7.66,,,
Market sell,2020-10-06,AYX,1.72,,,
Market sell,2020-10-06,BMRN,0.81,,,
Market sell,2020-10-06,PLTR,4.7,,,
Market sell,2020-10-08,NFLX,16.9,,,
Market sell,2020-10-08,SPG,3.77,,,
Market sell,2020-10-08,AAPL,0.59,,,
Market sell,2020-10-09,GOOGL,0.47,,,
Stop sell,2020-10-12,WWR,-0.73,,,
Stop sell,2020-10-12,MTCH,-1.15,,,
Market sell,2020-10-12,SPCE,38.08,,,
Market sell,2020-10-13,OESX,11.58,,,
Market sell,2020-10-13,MDT,2.02,,,
Stop sell,2020-10-13,SBE,0.23,,,
Market sell,2020-10-13,VZ,0.83,,,
Market sell,2020-10-14,DIS,5.44,,,
Market sell,2020-10-14,GAN,-0.28,,,
Stop sell,2020-10-14,LLY,0.71,,,0.01
Stop sell,2020-10-14,AQST,-0.79,,,
Market sell,2020-10-15,FOXF,30.16,,,0.01
Market sell,2020-10-15,LMND,48.14,,,
Stop sell,2020-10-15,ODT,0.08,,,0.0
Market sell,2020-10-19,TSLA,3.13,,,
Market sell,2020-10-19,ADTX,15.89,,,
Market sell,2020-10-19,GOCO,-37.88,,,
Stop sell,2020-10-19,PLTR,-1.25,,,0.0
Market sell,2020-10-19,FSLY,-5.91,,,
Stop sell,2020-10-19,RVLV,0.39,,,
Stop sell,2020-10-19,TWOU,0.13,,,
Stop sell,2020-10-19,MSFT,4.73,,,
Stop sell,2020-10-21,FLIR,-0.38,,,0.0
Market sell,2020-10-21,ODT,0.08,,,
Market sell,2020-10-22,VCYT,16.85,,,
Market sell,2020-10-22,DM,-0.7,,,
Stop sell,2020-10-23,INTC,-13.92,,,0.0
Stop sell,2020-10-26,ONVO,1.82,,,
Market sell,2020-10-26,TWO,-9.51,,,
Market sell,2020-10-26,NRZ,-15.27,,,
Market sell,2020-10-26,AVAV,55.31,,,
Market sell,2020-10-26,ATGE,1.47,,,
Market sell,2020-10-26,IVR,-5.45,,,
Stop sell,2020-10-27,MCS,3.29,,,
Market sell,2020-10-29,SMSI,-0.92,,,
Market sell,2020-10-29,GOEV,-2.02,,,
Market sell,2020-10-29,GAN,-25.86,,,
Stop sell,2020-10-29,NVTA,-11.7,,,
Stop sell,2020-10-29,LMND,-8.38,,,0.0
Stop sell,2020-10-30,CGEN,-21.19,,,
Market sell,2020-11-04,SPCE,1.5,,,
Market sell,2020-11-09,SABR,3.23,,,
Market sell,2020-11-09,HOME,-36.88,,,
Limit sell,2020-11-10,GAN,3.55,,,
Market sell,2020-11-17,FSR,24.64,,,
Market sell,2020-11-17,TRIT,19.74,,,
Market sell,2020-11-18,SDGR,-0.11,,,
Market sell,2020-11-18,LMND,17.03,,,
Market sell,2020-11-18,WWR,8.1,,,
Limit sell,2020-11-18,PXLW,-10.6,,,
Market sell,2020-11-18,CWCO,0.56,,,
Market sell,2020-11-18,CETX,1.19,,,
Market sell,2020-11-18,TWO,1.74,,,
Market sell,2020-11-18,RIDE,66.09,,,
Market sell,2020-11-18,WWR,29.76,,,
Market sell,2020-11-18,NCLH,4.93,,,
Market sell,2020-11-18,ZUO,-5.93,,,
Market sell,2020-11-18,GOEV,-2.98,,,
Market sell,2020-11-19,RAVE,-2.44,,,
Market sell,2020-11-19,WKHS,-7.13,,,
Market sell,2020-11-23,QDEL,-3.77,,,
Market sell,2020-11-23,IBIO,-64.38,,,
Market sell,2020-11-23,ZNGA,-0.67,,,
Market sell,2020-11-24,WKHS,22.63,,,
Market sell,2020-11-25,TTI,28.48,,,
Market sell,2020-12-02,OSTK,21.85,,,
Market sell,2020-12-02,CYTK,-2.28,,,
Market sell,2020-12-02,NFLX,0.01,,,
Market sell,2020-12-02,WKHS,-0.79,,,
Market sell,2020-12-03,PING,-0.29,,,
Market sell,2020-12-04,HOME,23.19,,,
Market sell,2020-12-07,INTC,22.12,,,
Market sell,2020-12-07,BYND,6.36,,,
Market sell,2020-12-07,AQB,216.22,,,
Market sell,2020-12-07,BIGC,-1.51,,,
Market sell,2020-12-08,BP,-2.93,,,
Market sell,2020-12-08,DBX,-1.98,,,
Market sell,2020-12-08,TWOU,-3.43,,,
Market sell,2020-12-08,VERI,251.0,,,
Market sell,2020-12-09,PDL,1.04,,,
Market sell,2020-12-09,AAPL,-2.6,,,
Market sell,2020-12-09,SFT,1.87,,,
Market sell,2020-12-09,CRSR,-3.89,,,
Market sell,2020-12-09,GPS,2.18,,,
Market sell,2020-12-09,SWCH,-7.32,,,
Market sell,2020-12-09,IZEA,-0.11,,,
Market sell,2020-12-09,GNUS,6.68,,,
Market sell,2020-12-09,BOXL,6.44,,,
Market sell,2020-12-09,IDEX,-3.45,,,
Market sell,2020-12-09,APXT,12.95,,,
Market sell,2020-12-09,GILT,25.89,,,
Market sell,2020-12-09,CCL,48.29,,,
Market sell,2020-12-09,ET,32.79,,,
Market sell,2020-12-09,LGVW,6.71,,,
Market sell,2020-12-10,DMYD,-2.11,,,0.01
Market sell,2020-12-11,AYX,10.51,,,
Market sell,2020-12-11,TWOU,0.77,,,
Market sell,2020-12-11,GDRX,0.65,,,
Market sell,2020-12-11,PSTH,0.5,,,
Market sell,2020-12-11,BIGC,-0.05,,,
Market sell,2020-12-11,ABNB,-7.23,,,
Market sell,2020-12-14,RMO,45.33,,,
Market sell,2020-12-14,BYND,0.43,,,
Market sell,2020-12-15,FSLY,30.24,,,
Market sell,2020-12-16,OAC,36.52,,,0.01
Market sell,2020-12-16,CLVR,0.21,,,
Market sell,2020-12-16,HOME,3.29,,,
Market sell,2020-12-16,SELB,-15.82,,,
Market sell,2020-12-17,CLOV,3.59,,,
Market sell,2020-12-22,PMO,8.2,,,
Market sell,2020-12-22,NCLH,4.89,,,
Market sell,2020-12-23,OPEN,99.1,,,
Market sell,2020-12-28,NBAC,41.26,,,
Market sell,2020-12-28,ACTG,-0.73,,,
Market sell,2020-12-28,WBA,-0.13,,,
Market sell,2020-12-28,BIGC,-4.99,,,
Market sell,2020-12-28,WWR,-4.14,,,
Market sell,2020-12-28,SDGR,60.53,,,
Market sell,2020-12-29,TDAC,-3.08,,,
Market sell,2020-12-29,DMYD,77.87,,,
Market sell,2020-12-29,ONVO,52.21,,,
Market sell,2020-12-29,GAN,2.8,,,
Market sell,2020-12-29,FLIR,20.33,,,
Market sell,2020-12-29,DPW,19.83,,,
Market sell,2020-12-30,GNOG,276.5,,,
Market sell,2020-12-30,AREC,-24.54,,,
Market sell,2020-12-30,MP,2.51,,,
Market sell,2020-12-30,DNMR,67.09,,,0.0
Market sell,2020-12-31,CRSR,-5.06,,,
Market sell,2020-12-31,TLRY,-0.56,,,
